Year,Sex,ICD10 Diagnosis,Diagnosis Type,Value_adm,Value_fat,Smoking Prevalence,"Tobacco Price
Index","Retail Prices
Index",Tobacco Price Index Relative to Retail Price Index,Real Households' Disposable Income,Affordability of Tobacco Index,Household Expenditure on Tobacco,Household Expenditure Total,Expenditure on Tobacco as a Percentage of Expenditure,All Pharmacotherapy Prescriptions,Nicotine Replacement Therapy (NRT) Prescriptions,Bupropion (Zyban) Prescriptions,Varenicline (Champix) Prescriptions,Net Ingredient Cost of All Pharmacotherapies,Net Ingredient Cost of Nicotine Replacement Therapies (NRT),Net Ingredient Cost of Bupropion (Zyban),Net Ingredient Cost of Varenicline (Champix)
2004,Female,Age Related Cataract 45+,Other diseases which can be caused by smoking,87824.0,,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,All admissions,All admissions,4373273.0,,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,All cancers,All cancers,646853.0,74122.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,All circulatory diseases,All circulatory diseases,403117.0,102726.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,All deaths,All deaths,,282255.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,All deaths which can be caused by smoking,All deaths which can be caused by smoking,,145608.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,All diseases of the digestive system,All diseases of the digestive system,453923.0,13526.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,All diseases which can be caused by smoking,All diseases which can be caused by smoking,637477.0,,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,All respiratory diseases,All respiratory diseases,251679.0,45756.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,4252.0,5070.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Atherosclerosis,Circulatory diseases which can be caused by smoking,3362.0,589.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Bladder,Cancers which can be caused by smoking,24296.0,1774.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,57559.0,32445.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Cervical,Cancers which can be caused by smoking,7288.0,945.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,93768.0,16887.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,4426.0,1097.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Crohns Disease,Digestive diseases which can be caused caused by smoking,8958.0,,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Hip Fracture 55+,Other diseases which can be caused by smoking,51503.0,,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,127055.0,42439.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Kidney and Renal Pelvis,Cancers which can be caused by smoking,3619.0,1230.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Larynx,Cancers which can be caused by smoking,1307.0,227.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Myeloid Leukaemia,Cancers which can be caused by smoking,12814.0,1056.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Oesophagus,Cancers which can be caused by smoking,14261.0,3366.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Other Heart Disease,Circulatory diseases which can be caused by smoking,114527.0,15871.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Other arterial disease,Circulatory diseases which can be caused by smoking,18580.0,2060.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Pancreas,Cancers which can be caused by smoking,10423.0,3939.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,2266.0,,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,49106.0,20152.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Spontaneous Abortion,Other diseases which can be caused by smoking,12757.0,,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Stomach,Cancers which can be caused by smoking,7712.0,1985.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,17164.0,2675.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,52486.0,18864.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Unspecified Site,Cancers which can be caused by smoking,9528.0,6782.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Female,Upper Respiratory Sites,Cancers which can be caused by smoking,5636.0,855.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,Age Related Cataract 45+,Other diseases which can be caused by smoking,54032.0,,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,All admissions,All admissions,3925475.0,,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,All cancers,All cancers,685802.0,91365.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,All circulatory diseases,All circulatory diseases,569662.0,101608.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,All deaths,All deaths,,276431.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
2004,Male,All deaths which can be caused by smoking,All deaths which can be caused by smoking,,143800.0,26.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,
