Year,ICD10 Diagnosis,Diagnosis Type,Value_adm,Value_fat,Smoking Prevalence,"Tobacco Price
Index","Retail Prices
Index",Tobacco Price Index Relative to Retail Price Index,Real Households' Disposable Income,Affordability of Tobacco Index,Household Expenditure on Tobacco,Household Expenditure Total,Expenditure on Tobacco as a Percentage of Expenditure,All Pharmacotherapy Prescriptions,Nicotine Replacement Therapy (NRT) Prescriptions,Bupropion (Zyban) Prescriptions,Varenicline (Champix) Prescriptions,Net Ingredient Cost of All Pharmacotherapies,Net Ingredient Cost of Nicotine Replacement Therapies (NRT),Net Ingredient Cost of Bupropion (Zyban),Net Ingredient Cost of Varenicline (Champix),Smoking_Prevalence_YoY,Death_Rate,SmokingPrice_Interaction,Sex_Male,Policy_Era_Pre-2010
2004,Age Related Cataract 45+,Other diseases which can be caused by smoking,87824.0,,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,,,15055.800000000001,False,True
2004,All admissions,All admissions,4373273.0,,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,,15055.800000000001,False,True
2004,All cancers,All cancers,646853.0,74122.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.11458863141994458,15055.800000000001,False,True
2004,All circulatory diseases,All circulatory diseases,403117.0,102726.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.2548292431223321,15055.800000000001,False,True
2004,All deaths,All deaths,403117.0,282255.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.2548292431223321,15055.800000000001,False,True
2004,All deaths which can be caused by smoking,All deaths which can be caused by smoking,403117.0,145608.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.2548292431223321,15055.800000000001,False,True
2004,All diseases of the digestive system,All diseases of the digestive system,453923.0,13526.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.029798005388513474,15055.800000000001,False,True
2004,All diseases which can be caused by smoking,All diseases which can be caused by smoking,637477.0,13526.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.029798005388513474,15055.800000000001,False,True
2004,All respiratory diseases,All respiratory diseases,251679.0,45756.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.18180301097754759,15055.800000000001,False,True
2004,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,4252.0,5070.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,1.1923800561635982,15055.800000000001,False,True
2004,Atherosclerosis,Circulatory diseases which can be caused by smoking,3362.0,589.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.1751933372471168,15055.800000000001,False,True
2004,Bladder,Cancers which can be caused by smoking,24296.0,1774.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.07301613434009648,15055.800000000001,False,True
2004,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,57559.0,32445.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.5636824823126934,15055.800000000001,False,True
2004,Cervical,Cancers which can be caused by smoking,7288.0,945.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.12966520305575394,15055.800000000001,False,True
2004,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,93768.0,16887.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.18009342206104328,15055.800000000001,False,True
2004,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,4426.0,1097.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.2478535923524958,15055.800000000001,False,True
2004,Crohns Disease,Digestive diseases which can be caused caused by smoking,8958.0,1097.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.2478535923524958,15055.800000000001,False,True
2004,Hip Fracture 55+,Other diseases which can be caused by smoking,51503.0,1097.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.2478535923524958,15055.800000000001,False,True
2004,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,127055.0,42439.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.3340206996943527,15055.800000000001,False,True
2004,Kidney and Renal Pelvis,Cancers which can be caused by smoking,3619.0,1230.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.33987289297046896,15055.800000000001,False,True
2004,Larynx,Cancers which can be caused by smoking,1307.0,227.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.17368018349374123,15055.800000000001,False,True
2004,Myeloid Leukaemia,Cancers which can be caused by smoking,12814.0,1056.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.08240986420458796,15055.800000000001,False,True
2004,Oesophagus,Cancers which can be caused by smoking,14261.0,3366.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.23602832899263526,15055.800000000001,False,True
2004,Other Heart Disease,Circulatory diseases which can be caused by smoking,114527.0,15871.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.13857867576956895,15055.800000000001,False,True
2004,Other arterial disease,Circulatory diseases which can be caused by smoking,18580.0,2060.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.11087190526852142,15055.800000000001,False,True
2004,Pancreas,Cancers which can be caused by smoking,10423.0,3939.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.3779142281130275,15055.800000000001,False,True
2004,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,2266.0,3939.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.3779142281130275,15055.800000000001,False,True
2004,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,49106.0,20152.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.4103775505964571,15055.800000000001,False,True
2004,Spontaneous Abortion,Other diseases which can be caused by smoking,12757.0,20152.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.4103775505964571,15055.800000000001,False,True
2004,Stomach,Cancers which can be caused by smoking,7712.0,1985.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.2573910788047989,15055.800000000001,False,True
2004,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,17164.0,2675.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.15584945233303138,15055.800000000001,False,True
2004,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,52486.0,18864.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.3594101284083487,15055.800000000001,False,True
2004,Unspecified Site,Cancers which can be caused by smoking,9528.0,6782.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.7117968093291565,15055.800000000001,False,True
2004,Upper Respiratory Sites,Cancers which can be caused by smoking,5636.0,855.0,23.0,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,2044,1908,136,,46093,40942,5151,,0.0,0.15170333567216052,15055.800000000001,False,True
